date,equipe_dom,score_dom,score_ext,equipe_ext,classement_dom,classement_ext
30 mars 2018 Saison régulière,Golden State Warriors,,,Milwaukee Bucks,,
29 mars 2018 Saison régulière,Orlando Magic,,,Brooklyn Nets,,
29 mars 2018 Saison régulière,Philadelphia 76ers,,,New York Knicks,,
29 mars 2018 Saison régulière,Charlotte Hornets,,,Cleveland Cavaliers,,
29 mars 2018 Saison régulière,Minnesota Timberwolves,,,Atlanta Hawks,,
29 mars 2018 Saison régulière,Memphis Grizzlies,,,Portland Trail Blazers,,
29 mars 2018 Saison régulière,Utah Jazz,,,Boston Celtics,,
29 mars 2018 Saison régulière,Phoenix Suns,,,LA Clippers,,
29 mars 2018 Saison régulière,LA Lakers,,,Dallas Mavericks,,
28 mars 2018 Saison régulière,Washington Wizards,,,San Antonio Spurs,,
28 mars 2018 Saison régulière,Toronto Raptors,,,Denver Nuggets,,
28 mars 2018 Saison régulière,New Orleans Pelicans,,,Portland Trail Blazers,,
28 mars 2018 Saison régulière,Miami Heat,,,Cleveland Cavaliers,,
28 mars 2018 Saison régulière,Houston Rockets,,,Chicago Bulls,,
28 mars 2018 Saison régulière,Sacramento Kings,,,Dallas Mavericks,,
28 mars 2018 Saison régulière,Golden State Warriors,,,Indiana Pacers,,
28 mars 2018 Saison régulière,LA Clippers,,,Milwaukee Bucks,,
27 mars 2018 Saison régulière,Detroit Pistons,,,LA Lakers,,
27 mars 2018 Saison régulière,Philadelphia 76ers,,,Denver Nuggets,,
27 mars 2018 Saison régulière,Charlotte Hornets,,,New York Knicks,,
27 mars 2018 Saison régulière,Minnesota Timberwolves,,,Memphis Grizzlies,,
27 mars 2018 Saison régulière,Phoenix Suns,,,Boston Celtics,,
26 mars 2018 Saison régulière,Toronto Raptors,,,LA Clippers,,
26 mars 2018 Saison régulière,Sacramento Kings,,,Boston Celtics,,
26 mars 2018 Saison régulière,Washington Wizards,,,New York Knicks,,
26 mars 2018 Saison régulière,Oklahoma City Thunder,,,Portland Trail Blazers,,
26 mars 2018 Saison régulière,Houston Rockets,,,Atlanta Hawks,,
26 mars 2018 Saison régulière,Golden State Warriors,,,Utah Jazz,,
24 mars 2018 Saison régulière,Indiana Pacers,,,LA Clippers,,
24 mars 2018 Saison régulière,Washington Wizards,,,Denver Nuggets,,
24 mars 2018 Saison régulière,Cleveland Cavaliers,,,Phoenix Suns,,
24 mars 2018 Saison régulière,Toronto Raptors,,,Brooklyn Nets,,
24 mars 2018 Saison régulière,New York Knicks,,,Minnesota Timberwolves,,
